gene,peco,y_true,y_pred,y_prob,gene_y,trait
2020,31,0,1,0.98677874,LOC_Os06g20410,laboratory study
5236,31,0,1,0.96111345,LOC_Os04g12890,laboratory study
9991,31,0,1,0.94557905,LOC_Os05g46720,laboratory study
8717,31,0,1,0.9431308,LOC_Os01g29409,laboratory study
4814,31,0,1,0.9312617,LOC_Os06g22550,laboratory study
9111,31,0,1,0.9209278,LOC_Os01g27230,laboratory study
185,31,0,1,0.9116899,LOC_Os02g58090,laboratory study
307,31,0,1,0.89719075,LOC_Os05g47540,laboratory study
10890,31,0,1,0.8920781,LOC_Os08g09210,laboratory study
4794,31,0,1,0.85874116,LOC_Os03g58430,laboratory study
3642,31,0,1,0.7760609,LOC_Os07g11120,laboratory study
8486,31,0,1,0.7520216,LOC_Os06g17020,laboratory study
3981,31,0,1,0.74248695,LOC_Os07g07540,laboratory study
4615,31,0,1,0.7221179,LOC_Os09g19830,laboratory study
11488,31,0,1,0.66650903,LOC_Os06g44260,laboratory study
5198,31,0,1,0.6234047,LOC_Os01g67860,laboratory study
6781,31,0,1,0.6194744,LOC_Os01g72350,laboratory study
3445,31,0,0,0.49228793,LOC_Os01g66110,laboratory study
206,31,0,0,0.44493982,LOC_Os12g39380,laboratory study
2709,31,0,0,0.43824488,LOC_Os01g50770,laboratory study
7932,31,0,0,0.42644238,LOC_Os03g29950,laboratory study
9195,31,0,0,0.42368877,LOC_Os07g01214,laboratory study
6711,31,0,0,0.4176081,LOC_Os08g41810,laboratory study
7589,31,0,0,0.41412717,LOC_Os02g42310,laboratory study
10738,31,0,0,0.39907706,LOC_Os01g57420,laboratory study
11707,31,0,0,0.374155,LOC_Os05g45080,laboratory study
3493,31,0,0,0.3740989,LOC_Os02g08490,laboratory study
4152,31,0,0,0.37182924,LOC_Os07g40250,laboratory study
9285,31,0,0,0.36774978,LOC_Os07g22670,laboratory study
5219,31,0,0,0.35800523,LOC_Os02g53750,laboratory study
295,31,0,0,0.35549232,LOC_Os05g43390,laboratory study
12021,31,0,0,0.35412458,LOC_Os09g32274,laboratory study
583,31,0,0,0.3512447,LOC_Os06g35550,laboratory study
11229,31,0,0,0.34282354,LOC_Os02g09770,laboratory study
2712,31,0,0,0.33785948,LOC_Os10g42400,laboratory study
6559,31,0,0,0.33107793,LOC_Os10g40600,laboratory study
3334,31,0,0,0.3258701,LOC_Os01g39810,laboratory study
10648,31,0,0,0.31586334,LOC_Os04g58240,laboratory study
9314,31,0,0,0.3099858,LOC_Os03g61019,laboratory study
11877,31,0,0,0.30334422,LOC_Os01g51360,laboratory study
1655,31,0,0,0.2948681,LOC_Os03g03990,laboratory study
6933,31,0,0,0.29470345,LOC_Os04g52400,laboratory study
10547,31,0,0,0.28645405,LOC_Os06g35480,laboratory study
9690,31,0,0,0.28438216,LOC_Os09g31482,laboratory study
6065,31,0,0,0.27142885,LOC_Os03g50430,laboratory study
12185,31,0,0,0.26942357,LOC_Os11g29710,laboratory study
